Name,Position,Club,Country of the club,_league,_source
Dante Vanzeir,Napastnik,Cercle Brugge,Belgia,Pro League,sofascore
Abdoul Kader Ouattara,Napastnik,Cercle Brugge,Belgia,Pro League,sofascore
Makaya Ibrahima Diaby,Pomocnik,Cercle Brugge,Belgia,Pro League,flashscore~fuzzy
Erick Nunes,Pomocnik,Cercle Brugge,Belgia,Pro League,sofascore
Alama Bayo,Pomocnik,Cercle Brugge,Belgia,Pro League,sofascore
Valy Konate,Obrońca,Cercle Brugge,Belgia,Pro League,sofascore
Jonas Lietaert,Obrońca,Cercle Brugge,Belgia,Pro League,sofascore
Elijah Ly,Napastnik,Club Brugge KV,Belgia,Pro League,sofascore
Gianluca Okon-Engstler,Pomocnik,Club Brugge KV,Belgia,Pro League,sofascore
Naim Amengai,Pomocnik,Club Brugge KV,Belgia,Pro League,sofascore
Joaquin Seys,Obrońca,Club Brugge KV,Belgia,Pro League,sofascore
Andre Garcia,Obrońca,Club Brugge KV,Belgia,Pro League,sofascore
Max Dean,Napastnik,KAA Gent,Belgia,Pro League,sofascore
Ibrahima Cisse,Napastnik,KAA Gent,Belgia,Pro League,sofascore
Abdelkahar Kadri,Pomocnik,KAA Gent,Belgia,Pro League,sofascore
Mathias Delorge,Pomocnik,KAA Gent,Belgia,Pro League,sofascore
Matisse Samoise,Pomocnik,KAA Gent,Belgia,Pro League,sofascore
Leonardo Lopes,Pomocnik,KAA Gent,Belgia,Pro League,flashscore~fuzzy
Pieter Gerkens,Pomocnik,KAA Gent,Belgia,Pro League,sofascore
Abdul Ayinde,Obrońca,KAA Gent,Belgia,Pro League,sofascore
Mouhamed El Ngom,Obrońca,KAA Gent,Belgia,Pro League,flashscore~fuzzy
Yira Collins Sor,Napastnik,KRC Genk,Belgia,Pro League,flashscore~fuzzy
Ibrahima Sory Bangoura,Pomocnik,KRC Genk,Belgia,Pro League,flashscore~fuzzy
Jelle Driessen,Pomocnik,KRC Genk,Belgia,Pro League,sofascore
Tinus Moorthamer,Pomocnik,KRC Genk,Belgia,Pro League,sofascore
Josue Ndenge Kongolo,Obrońca,KRC Genk,Belgia,Pro League,flashscore~fuzzy
Sami El Morabet,Obrońca,KRC Genk,Belgia,Pro League,sofascore
Wout Kapers,Obrońca,KRC Genk,Belgia,Pro League,sofascore
Nayel Mehssatou,Obrońca,KV Kortrijk,Belgia,Pro League,flashscore~fuzzy
Csanad Vilmos Denes,Pomocnik,KV Kortrijk,Belgia,Pro League,sofascore
Fuhna Nsolo,Obrońca,KV Kortrijk,Belgia,Pro League,flashscore~fuzzy
David Amegnaglo,Napastnik,KVC Westerlo,Belgia,Pro League,sofascore
Karol Borys,Pomocnik,KVC Westerlo,Belgia,Pro League,sofascore
Serhiy Sydorchuk,Pomocnik,KVC Westerlo,Belgia,Pro League,sofascore
Lucas Mbamba,Obrońca,KVC Westerlo,Belgia,Pro League,sofascore
Karim Dermane,Napastnik,Lommel SK,Belgia,Pro League,sofascore
Filip Krastev,Pomocnik,Lommel SK,Belgia,Pro League,sofascore
Mohamed Salah El Boukammiri,Napastnik,Lommel SK,Belgia,Pro League,flashscore~fuzzy
Leon Lalic,Pomocnik,Lommel SK,Belgia,Pro League,sofascore
Dorde Gordic,Pomocnik,Lommel SK,Belgia,Pro League,sofascore
Daniel Negry-McGrath,Pomocnik,Lommel SK,Belgia,Pro League,sofascore
Jhon Banguera,Obrońca,Lommel SK,Belgia,Pro League,flashscore~fuzzy
Mouhamed Belkheir,Napastnik,RAAL La Louviere,Belgia,Pro League,sofascore
Mohamed Guindo,Napastnik,RAAL La Louviere,Belgia,Pro League,sofascore
Timeo Kerckhofs,Napastnik,RAAL La Louviere,Belgia,Pro League,sofascore
Mohamed Habib N'Diaye,Obrońca,RAAL La Louviere,Belgia,Pro League,sofascore
Teo Logghe,Obrońca,RAAL La Louviere,Belgia,Pro League,sofascore
Geoffry Hairemans,Napastnik,Royal Antwerp FC,Belgia,Pro League,sofascore
Gabriel Jesus David,Napastnik,Royal Antwerp FC,Belgia,Pro League,sofascore
Toon Franssen,Napastnik,Royal Antwerp FC,Belgia,Pro League,sofascore
Aaron Ibrahim,Obrońca,Royal Antwerp FC,Belgia,Pro League,sofascore
Yassine Titraoui,Pomocnik,RC Sporting Charleroi,Belgia,Pro League,sofascore
Jakob Napoleon Romsaas,Napastnik,RC Sporting Charleroi,Belgia,Pro League,flashscore~fuzzy
Rafael Teugels,Obrońca,RC Sporting Charleroi,Belgia,Pro League,sofascore
Noa Thomas Ojea Cobiella,Pomocnik,RSC Anderlecht,Belgia,Pro League,flashscore~fuzzy
Cesar Huerta,Napastnik,RSC Anderlecht,Belgia,Pro League,flashscore~fuzzy
Nathan-Dylan Saliba,Pomocnik,RSC Anderlecht,Belgia,Pro League,sofascore
Majeed Ashimeru,Pomocnik,RSC Anderlecht,Belgia,Pro League,sofascore
Joshua Nga Kana,Pomocnik,RSC Anderlecht,Belgia,Pro League,flashscore~fuzzy
Cedric Hatenboer,Pomocnik,RSC Anderlecht,Belgia,Pro League,sofascore
Alexis Flips,Pomocnik,RSC Anderlecht,Belgia,Pro League,sofascore
Noah Kalonji,Pomocnik,RSC Anderlecht,Belgia,Pro League,flashscore~fuzzy
Lucas Hey,Obrońca,RSC Anderlecht,Belgia,Pro League,flashscore~fuzzy
Thomas Foket,Obrońca,RSC Anderlecht,Belgia,Pro League,sofascore
Ilyes Najim,Napastnik,SK Beveren,Belgia,Pro League,sofascore
Francesco Frattaruolo,Napastnik,SK Beveren,Belgia,Pro League,sofascore
Tibe Sjongers,Pomocnik,SK Beveren,Belgia,Pro League,sofascore
Tibe S'Jongers,Pomocnik,SK Beveren,Belgia,Pro League,sofascore
Erjon Salii,Pomocnik,SK Beveren,Belgia,Pro League,sofascore
Noah Mawete Kinsiona,Pomocnik,SK Beveren,Belgia,Pro League,flashscore~fuzzy
Dominic Thompson,Obrońca,SK Beveren,Belgia,Pro League,sofascore
Warre Moenaert,Obrońca,SK Beveren,Belgia,Pro League,sofascore
Andres Ferrari,Napastnik,Sint-Truidense VV,Belgia,Pro League,sofascore
Jay David Mbalanda,Napastnik,Sint-Truidense VV,Belgia,Pro League,sofascore
Ben Achour Ilyes,Pomocnik,Sint-Truidense VV,Belgia,Pro League,sofascore
Hugo Lambotte,Obrońca,Sint-Truidense VV,Belgia,Pro League,sofascore
Dennis Eckert Ayensa,Napastnik,Standard Liege,Belgia,Pro League,flashscore~fuzzy
Grejohn Kyei,Napastnik,Standard Liege,Belgia,Pro League,sofascore
Mo El Hankouri,Pomocnik,Standard Liege,Belgia,Pro League,sofascore
Bosko Sutalo,Obrońca,Standard Liege,Belgia,Pro League,sofascore
Noa Sy,Obrońca,Standard Liege,Belgia,Pro League,sofascore
Akpa Chukwu Hemsley,Napastnik,SV Zulte Waregem,Belgia,Pro League,sofascore
Dylan Demuynck,Napastnik,SV Zulte Waregem,Belgia,Pro League,sofascore
Jevon Simons,Pomocnik,SV Zulte Waregem,Belgia,Pro League,sofascore
Mouhamadou Sall,Obrońca,SV Zulte Waregem,Belgia,Pro League,sofascore
Sekou Keita,Napastnik,Royale Union Saint-Gilloise,Belgia,Pro League,sofascore
Cristian Makate,Napastnik,Royale Union Saint-Gilloise,Belgia,Pro League,flashscore~fuzzy
Mamadou Barry,Obrońca,Royale Union Saint-Gilloise,Belgia,Pro League,flashscore~fuzzy
Dikeni Salifou,Pomocnik,KV Mechelen,Belgia,Pro League,sofascore
Cedric Jan Van Meirvenne,Napastnik,KV Mechelen,Belgia,Pro League,flashscore~fuzzy
Oliver Valaker Edvardsen,Napastnik,AFC Ajax,Holandia,Eredivisie,flashscore~fuzzy
Amourricho van Axel-Dongen,Napastnik,AFC Ajax,Holandia,Eredivisie,sofascore
Pharrel Nash,Napastnik,AFC Ajax,Holandia,Eredivisie,sofascore
Marvyn Muzungu,Obrońca,AFC Ajax,Holandia,Eredivisie,sofascore
Mayckel Lahdo,Napastnik,AZ Alkmaar,Holandia,Eredivisie,sofascore
Isak Steiner Jensen,Napastnik,AZ Alkmaar,Holandia,Eredivisie,flashscore~fuzzy
Wassim Bouziane,Pomocnik,AZ Alkmaar,Holandia,Eredivisie,sofascore
Mateo Chavez,Pomocnik,AZ Alkmaar,Holandia,Eredivisie,flashscore~fuzzy
Alexandre Penetra,Obrońca,AZ Alkmaar,Holandia,Eredivisie,sofascore
Isaque Sousa Monte,Napastnik,Excelsior,Holandia,Eredivisie,sofascore
Nacho Corral Senar,Napastnik,Excelsior,Holandia,Eredivisie,sofascore
Giuliano Cairo,Obrońca,Excelsior,Holandia,Eredivisie,sofascore
Brynjolfur Darri Willumsson,Napastnik,FC Groningen,Holandia,Eredivisie,flashscore~fuzzy
Christopher Fafiani,Obrońca,FC Groningen,Holandia,Eredivisie,sofascore
Jesper Mosselaar,Obrońca,FC Groningen,Holandia,Eredivisie,sofascore
Sayfallah Ltaief,Napastnik,FC Twente,Holandia,Eredivisie,sofascore
Gijs Besselink,Pomocnik,FC Twente,Holandia,Eredivisie,sofascore
Mees Hilgers,Obrońca,FC Twente,Holandia,Eredivisie,sofascore
Julien Mesbahi,Obrońca,FC Twente,Holandia,Eredivisie,sofascore
Max Bruns,Obrońca,FC Twente,Holandia,Eredivisie,sofascore
Bjorn Titulaer,Obrońca,FC Twente,Holandia,Eredivisie,sofascore
Miliano Jonathans,Napastnik,FC Utrecht,Holandia,Eredivisie,sofascore
Artem Stepanov,Napastnik,FC Utrecht,Holandia,Eredivisie,sofascore
Noah Ohio,Napastnik,FC Utrecht,Holandia,Eredivisie,sofascore
Emmanuel Owen,Napastnik,FC Utrecht,Holandia,Eredivisie,flashscore~fuzzy
Victor Jensen,Pomocnik,FC Utrecht,Holandia,Eredivisie,sofascore
Arthur Zagre,Obrońca,FC Utrecht,Holandia,Eredivisie,sofascore
Emeka Adeile,Obrońca,FC Utrecht,Holandia,Eredivisie,sofascore
Niklas Vesterlund,Obrońca,FC Utrecht,Holandia,Eredivisie,flashscore~fuzzy
Neville Nwankwo,Obrońca,FC Utrecht,Holandia,Eredivisie,flashscore~fuzzy
Driss Laaouina,Obrońca,FC Utrecht,Holandia,Eredivisie,sofascore
Noel Beulens,Obrońca,FC Utrecht,Holandia,Eredivisie,sofascore
Nacho Ferri,Napastnik,Feyenoord,Holandia,Eredivisie,sofascore
Jivayno Zinhagel,Napastnik,Feyenoord,Holandia,Eredivisie,sofascore
Ilian Hadidi,Pomocnik,Feyenoord,Holandia,Eredivisie,sofascore
Jeremiah St Juste,Obrońca,Feyenoord,Holandia,Eredivisie,sofascore
Thomas Beelen,Obrońca,Feyenoord,Holandia,Eredivisie,sofascore
Tijme Wessels,Obrońca,Feyenoord,Holandia,Eredivisie,sofascore
Twan Schens,Obrońca,Feyenoord,Holandia,Eredivisie,sofascore
Boaz Plantinga,Obrońca,Feyenoord,Holandia,Eredivisie,sofascore
Ole Romeny,Napastnik,Fortuna Sittard,Holandia,Eredivisie,flashscore~fuzzy
Mohamed Ihattaren,Pomocnik,Fortuna Sittard,Holandia,Eredivisie,sofascore
Ivan Marquez,Obrońca,Fortuna Sittard,Holandia,Eredivisie,flashscore~fuzzy
Oskar Siira Sivertsen,Napastnik,Go Ahead Eagles,Holandia,Eredivisie,flashscore~fuzzy
Yassir Rahmouni,Pomocnik,Go Ahead Eagles,Holandia,Eredivisie,flashscore~fuzzy
Robbin Weijenberg,Pomocnik,Go Ahead Eagles,Holandia,Eredivisie,sofascore
Dean James,Obrońca,Go Ahead Eagles,Holandia,Eredivisie,flashscore~fuzzy
Gerrit Nauber,Obrońca,Go Ahead Eagles,Holandia,Eredivisie,sofascore
Pim Saathof,Obrońca,Go Ahead Eagles,Holandia,Eredivisie,sofascore
Tjaronn Chery,Napastnik,NEC Nijmegen,Holandia,Eredivisie,sofascore
Isak Hansen Aaroen,Pomocnik,NEC Nijmegen,Holandia,Eredivisie,sofascore
Dirk Wanner Proper,Pomocnik,NEC Nijmegen,Holandia,Eredivisie,flashscore~fuzzy
Givaro Renwarin,Pomocnik,PEC Zwolle,Holandia,Eredivisie,sofascore
Sherel Constancio Floranus,Obrońca,PEC Zwolle,Holandia,Eredivisie,flashscore~fuzzy
Myron Boadu,Napastnik,PSV Eindhoven,Holandia,Eredivisie,sofascore
Isaac Babadi,Pomocnik,PSV Eindhoven,Holandia,Eredivisie,sofascore
Shuryjano Cornecion,Pomocnik,PSV Eindhoven,Holandia,Eredivisie,sofascore
Gino Verhulst,Pomocnik,PSV Eindhoven,Holandia,Eredivisie,sofascore
Boet Mulders,Pomocnik,PSV Eindhoven,Holandia,Eredivisie,sofascore
Madi Monamay,Obrońca,PSV Eindhoven,Holandia,Eredivisie,sofascore
Essien Bassey,Obrońca,PSV Eindhoven,Holandia,Eredivisie,sofascore
Derryl Hupsel,Napastnik,SC Cambuur,Holandia,Eredivisie,sofascore
Daan Visser,Pomocnik,SC Cambuur,Holandia,Eredivisie,sofascore
Kick Eerhart,Pomocnik,SC Cambuur,Holandia,Eredivisie,sofascore
Buddy Vogelzang,Obrońca,SC Cambuur,Holandia,Eredivisie,sofascore
Zakaria El Kachati,Napastnik,SC Heerenveen,Holandia,Eredivisie,sofascore
Geert Jelke Gielstra,Napastnik,SC Heerenveen,Holandia,Eredivisie,sofascore
Levi Smans,Pomocnik,SC Heerenveen,Holandia,Eredivisie,sofascore
Kobus Bruinsma,Pomocnik,SC Heerenveen,Holandia,Eredivisie,sofascore
Nikolai Soyset Hopland,Obrońca,SC Heerenveen,Holandia,Eredivisie,flashscore~fuzzy
Noah Visbeen,Obrońca,SC Heerenveen,Holandia,Eredivisie,sofascore
Fabiano Rust,Napastnik,SC Telstar,Holandia,Eredivisie,flashscore~fuzzy
Gerald Alders,Obrońca,SC Telstar,Holandia,Eredivisie,sofascore
Marvin Peersman,Obrońca,SC Telstar,Holandia,Eredivisie,sofascore
Lushendry Edward Martes,Obrońca,Sparta Rotterdam,Holandia,Eredivisie,flashscore~fuzzy
Amine Lachkar,Pomocnik,Willem II Tilburg,Holandia,Eredivisie,sofascore
Jari Schuurman,Pomocnik,Willem II Tilburg,Holandia,Eredivisie,sofascore
Nathan Tjoe-A-On,Obrońca,Willem II Tilburg,Holandia,Eredivisie,sofascore
Amine Et-Taibi,Obrońca,Willem II Tilburg,Holandia,Eredivisie,sofascore
Peter Gonzalez,Pomocnik,Gornik Zabrze,Polska,Ekstraklasa,sofascore
Massimo,Pomocnik,Gornik Zabrze,Polska,Ekstraklasa,sofascore
Marcel Kalemba,Pomocnik,Gornik Zabrze,Polska,Ekstraklasa,sofascore
Natan Dziegielewski,Pomocnik,Gornik Zabrze,Polska,Ekstraklasa,sofascore
Ksawery Semik,Pomocnik,Gornik Zabrze,Polska,Ekstraklasa,sofascore
Radoslaw Szafranski,Obrońca,Gornik Zabrze,Polska,Ekstraklasa,sofascore
Manu,Napastnik,Radomiak Radom,Polska,Ekstraklasa,sofascore
Conrado Buchanelli,Obrońca,Radomiak Radom,Polska,Ekstraklasa,sofascore
Adrian Dieguez,Obrońca,Radomiak Radom,Polska,Ekstraklasa,flashscore~fuzzy
Jime,Pomocnik,Wisla Plock,Polska,Ekstraklasa,sofascore
Matsvei Bakhno,Obrońca,Wisla Plock,Polska,Ekstraklasa,sofascore
Marcus Haglind Sangre,Obrońca,Wisla Plock,Polska,Ekstraklasa,sofascore
Maksim Konanau,Napastnik,Jagiellonia Bialystok,Polska,Ekstraklasa,sofascore
Aziel Jackson,Pomocnik,Jagiellonia Bialystok,Polska,Ekstraklasa,sofascore
Olaf Pawelczyk,Pomocnik,Jagiellonia Bialystok,Polska,Ekstraklasa,sofascore
Adrian Duchnowski,Obrońca,Jagiellonia Bialystok,Polska,Ekstraklasa,sofascore
Stanislaw Gieroba,Napastnik,Legia Warszawa,Polska,Ekstraklasa,sofascore
Aleksander Wyganowski,Pomocnik,Legia Warszawa,Polska,Ekstraklasa,sofascore
Eryk Mikanovich,Pomocnik,Legia Warszawa,Polska,Ekstraklasa,sofascore
Robert Deziel Jr.,Obrońca,Legia Warszawa,Polska,Ekstraklasa,flashscore~fuzzy
Mateusz Lauryn,Obrońca,Legia Warszawa,Polska,Ekstraklasa,sofascore
Christopher Simon,Pomocnik,Motor Lublin,Polska,Ekstraklasa,sofascore
Kacper Szymanek,Pomocnik,Motor Lublin,Polska,Ekstraklasa,sofascore
Marek Kristian Bartos,Obrońca,Motor Lublin,Polska,Ekstraklasa,flashscore~fuzzy
Nikodem Stachowicz,Napastnik,Widzew Lodz,Polska,Ekstraklasa,sofascore
Fran Alvarez,Pomocnik,Widzew Lodz,Polska,Ekstraklasa,sofascore
Angel Baena,Napastnik,Widzew Lodz,Polska,Ekstraklasa,flashscore~fuzzy
Leon Madej,Pomocnik,Widzew Lodz,Polska,Ekstraklasa,sofascore
Kajetan Radomski,Pomocnik,Widzew Lodz,Polska,Ekstraklasa,sofascore
Pawel Kwiatkowski,Obrońca,Widzew Lodz,Polska,Ekstraklasa,sofascore
Bryan Fiabema,Napastnik,Lech Poznan,Polska,Ekstraklasa,sofascore
Kamil Jakobczyk,Napastnik,Lech Poznan,Polska,Ekstraklasa,sofascore
Patryk Kowalski,Obrońca,Lech Poznan,Polska,Ekstraklasa,sofascore
Amir Al-Ammari,Pomocnik,KS Cracovia,Polska,Ekstraklasa,sofascore
Dawid Polak,Pomocnik,KS Cracovia,Polska,Ekstraklasa,sofascore
Ilia Shkurin,Napastnik,GKS Katowice,Polska,Ekstraklasa,sofascore
Filip Rejczyk,Pomocnik,GKS Katowice,Polska,Ekstraklasa,sofascore
Kacper Cwielong,Pomocnik,GKS Katowice,Polska,Ekstraklasa,sofascore
Aleksander Paluszek,Obrońca,GKS Katowice,Polska,Ekstraklasa,sofascore
Jordi Sanchez,Napastnik,Wisla Krakow,Polska,Ekstraklasa,flashscore~fuzzy
Bartosz Talar,Napastnik,Wisla Krakow,Polska,Ekstraklasa,sofascore
Piotr Starzynski,Pomocnik,Wisla Krakow,Polska,Ekstraklasa,sofascore
Oliwier Plawinski,Pomocnik,Wisla Krakow,Polska,Ekstraklasa,sofascore
Bartosz Jaroch,Obrońca,Wisla Krakow,Polska,Ekstraklasa,sofascore
Kacper Skrobanski,Obrońca,Wisla Krakow,Polska,Ekstraklasa,sofascore
Samuel Ntamack Ndimba,Napastnik,Piast Gliwice,Polska,Ekstraklasa,flashscore~fuzzy
Mateusz Kopczynski,Pomocnik,Piast Gliwice,Polska,Ekstraklasa,sofascore
Kamil Lubowiecki,Pomocnik,Piast Gliwice,Polska,Ekstraklasa,sofascore
Justin Daniel,Pomocnik,Piast Gliwice,Polska,Ekstraklasa,sofascore
Ema Twumasi,Obrońca,Piast Gliwice,Polska,Ekstraklasa,sofascore
Juande Rivas,Obrońca,Piast Gliwice,Polska,Ekstraklasa,sofascore
Piotr Liszewski,Obrońca,Piast Gliwice,Polska,Ekstraklasa,sofascore
Michalis Kosidis,Napastnik,Zaglebie Lubin,Polska,Ekstraklasa,sofascore
Mohamed Lamine Diaby,Napastnik,Rakow Czestochowa,Polska,Ekstraklasa,sofascore
Wladyslaw Kocherhin,Pomocnik,Rakow Czestochowa,Polska,Ekstraklasa,sofascore
Jesus Diaz,Pomocnik,Rakow Czestochowa,Polska,Ekstraklasa,sofascore
Abraham Emmanuel Ojo,Pomocnik,Rakow Czestochowa,Polska,Ekstraklasa,flashscore~fuzzy
Didi Gaucho,Obrońca,Rakow Czestochowa,Polska,Ekstraklasa,sofascore
Antoni Kociniewski,Obrońca,Rakow Czestochowa,Polska,Ekstraklasa,sofascore
Miguel Villar Miki,Napastnik,Wieczysta Krakow,Polska,Ekstraklasa,flashscore~fuzzy
Malaly Dembele,Napastnik,Slask Wroclaw,Polska,Ekstraklasa,flashscore~fuzzy
Milosz Kozak,Pomocnik,Slask Wroclaw,Polska,Ekstraklasa,sofascore
Lukasz Zajaczkowski,Pomocnik,Slask Wroclaw,Polska,Ekstraklasa,sofascore
Jan Janiszewski,Pomocnik,Slask Wroclaw,Polska,Ekstraklasa,sofascore
Alex Timossi Andersson,Pomocnik,Slask Wroclaw,Polska,Ekstraklasa,flashscore~fuzzy
Kacper Kucharczyk,Napastnik,MKS Korona Kielce,Polska,Ekstraklasa,sofascore
Milosz Strzebonski,Pomocnik,MKS Korona Kielce,Polska,Ekstraklasa,sofascore
Constantinos Sotiriou,Obrońca,MKS Korona Kielce,Polska,Ekstraklasa,sofascore
Rajmund Molnar,Pomocnik,Pogon Szczecin,Polska,Ekstraklasa,sofascore
Meschak Elia,Napastnik,Alanyaspor,Turcja,Super Lig,sofascore
Osman Arslantas,Napastnik,Alanyaspor,Turcja,Super Lig,sofascore
Veysel Unal,Napastnik,Alanyaspor,Turcja,Super Lig,sofascore
Ruan Pereira Duarte,Pomocnik,Alanyaspor,Turcja,Super Lig,sofascore
Yusuf Ozdemir,Pomocnik,Alanyaspor,Turcja,Super Lig,sofascore
Yusuf Karademir,Pomocnik,Alanyaspor,Turcja,Super Lig,sofascore
Emirhan Cavus,Pomocnik,Alanyaspor,Turcja,Super Lig,sofascore
Bedirhan Ozyurt,Obrońca,Alanyaspor,Turcja,Super Lig,sofascore
Berk Kizildemir,Napastnik,Amed Sportif Faaliyetler,Turcja,Super Lig,sofascore
Civan Suer,Napastnik,Amed Sportif Faaliyetler,Turcja,Super Lig,sofascore
Muhammed Yildirim,Napastnik,Amed Sportif Faaliyetler,Turcja,Super Lig,sofascore
David Robert Bates,Obrońca,Amed Sportif Faaliyetler,Turcja,Super Lig,flashscore~fuzzy
Hasan Ali Kaldirim,Obrońca,Amed Sportif Faaliyetler,Turcja,Super Lig,sofascore
Mohamed Desouki,Obrońca,Amed Sportif Faaliyetler,Turcja,Super Lig,sofascore
Berat Percin,Obrońca,Amed Sportif Faaliyetler,Turcja,Super Lig,sofascore
Yakup Arda Kilic,Napastnik,Besiktas JK,Turcja,Super Lig,sofascore
Can Keles,Napastnik,Besiktas JK,Turcja,Super Lig,sofascore
Joao Mario,Pomocnik,Besiktas JK,Turcja,Super Lig,sofascore
Moatasem Al-Musrati,Pomocnik,Besiktas JK,Turcja,Super Lig,sofascore
Jean Onana,Pomocnik,Besiktas JK,Turcja,Super Lig,sofascore
Elan Ricardo,Pomocnik,Besiktas JK,Turcja,Super Lig,sofascore
Fahri Ay,Pomocnik,Besiktas JK,Turcja,Super Lig,flashscore~fuzzy
Amir Murillo,Obrońca,Besiktas JK,Turcja,Super Lig,sofascore
Emrecan Uzunhan,Obrońca,Besiktas JK,Turcja,Super Lig,sofascore
Mustafa Coskun Tosun,Napastnik,Caykur Rizespor,Turcja,Super Lig,sofascore
Mame Mor Faye,Napastnik,Caykur Rizespor,Turcja,Super Lig,flashscore~fuzzy
Eren Emre Aydin,Pomocnik,Caykur Rizespor,Turcja,Super Lig,sofascore
Husniddin Aliqulov,Obrońca,Caykur Rizespor,Turcja,Super Lig,sofascore
Seyfettin Anil Yasar,Obrońca,Caykur Rizespor,Turcja,Super Lig,flashscore~fuzzy
Habil Ozbakir,Obrońca,Caykur Rizespor,Turcja,Super Lig,sofascore
Huseyincan Kirikci,Obrońca,Caykur Rizespor,Turcja,Super Lig,sofascore
Hasan Ege Akdogan,Napastnik,Corum FK,Turcja,Super Lig,sofascore
Semih Akyildiz,Napastnik,Corum FK,Turcja,Super Lig,sofascore
Polat Abay,Napastnik,Corum FK,Turcja,Super Lig,sofascore
Eren Karadag,Pomocnik,Corum FK,Turcja,Super Lig,sofascore
Kenan Fakili,Pomocnik,Corum FK,Turcja,Super Lig,sofascore
Atakan Cangoz,Pomocnik,Corum FK,Turcja,Super Lig,sofascore
Hasan Yesilyurt,Napastnik,Corum FK,Turcja,Super Lig,flashscore~fuzzy
Arda Sengul,Obrońca,Corum FK,Turcja,Super Lig,flashscore~fuzzy
Taha Rencber,Obrońca,Corum FK,Turcja,Super Lig,sofascore
Berkay Ari,Obrońca,Corum FK,Turcja,Super Lig,sofascore
Murat Cem Akpinar,Pomocnik,Erzurumspor FK,Turcja,Super Lig,flashscore~fuzzy
Muhammed Furkan Ozhan,Pomocnik,Erzurumspor FK,Turcja,Super Lig,sofascore
Mamadou Ba,Pomocnik,Erzurumspor FK,Turcja,Super Lig,sofascore
Ali Sahin,Pomocnik,Erzurumspor FK,Turcja,Super Lig,sofascore
Omer Arda Kara,Obrońca,Erzurumspor FK,Turcja,Super Lig,flashscore~fuzzy
Emre Erdem,Obrońca,Erzurumspor FK,Turcja,Super Lig,sofascore
Abdou Sy,Napastnik,Eyupspor,Turcja,Super Lig,flashscore~fuzzy
Berkay Kumlu,Napastnik,Eyupspor,Turcja,Super Lig,sofascore
Hamza Akman,Pomocnik,Eyupspor,Turcja,Super Lig,sofascore
Ismaila Manga,Pomocnik,Eyupspor,Turcja,Super Lig,sofascore
Charles-Andre Raux Yao,Pomocnik,Eyupspor,Turcja,Super Lig,sofascore
Erdem Calik,Pomocnik,Eyupspor,Turcja,Super Lig,sofascore
Mete Demir,Pomocnik,Eyupspor,Turcja,Super Lig,sofascore
Bugra Cagliyan,Pomocnik,Eyupspor,Turcja,Super Lig,sofascore
Calegari,Obrońca,Eyupspor,Turcja,Super Lig,sofascore
Gilbert Mendy,Obrońca,Eyupspor,Turcja,Super Lig,sofascore
Mustafa Eren Damar,Obrońca,Eyupspor,Turcja,Super Lig,sofascore
Berhan Satli,Obrońca,Eyupspor,Turcja,Super Lig,flashscore~fuzzy
Adem Yesilyurt,Napastnik,Fenerbahce,Turcja,Super Lig,sofascore
Emin Eren Sayar,Napastnik,Fenerbahce,Turcja,Super Lig,flashscore~fuzzy
Sofyan Amrabat,Pomocnik,Fenerbahce,Turcja,Super Lig,sofascore
Irfan Can Kahveci,Napastnik,Fenerbahce,Turcja,Super Lig,flashscore~fuzzy
Mert Hakan Yandas,Pomocnik,Fenerbahce,Turcja,Super Lig,sofascore
Abdou Aziz Fall,Pomocnik,Fenerbahce,Turcja,Super Lig,sofascore
Yagiz Fikri Sen,Pomocnik,Fenerbahce,Turcja,Super Lig,sofascore
Diego Carlos,Obrońca,Fenerbahce,Turcja,Super Lig,sofascore
Halil Dervisoglu,Napastnik,Galatasaray,Turcja,Super Lig,sofascore
Recep Yalin Dilek,Napastnik,Galatasaray,Turcja,Super Lig,flashscore~fuzzy
Ali Efe Cordek,Napastnik,Galatasaray,Turcja,Super Lig,sofascore
Arda Tagay,Napastnik,Galatasaray,Turcja,Super Lig,sofascore
Baris Alper Yilmaz,Napastnik,Galatasaray,Turcja,Super Lig,flashscore~fuzzy
Mario Lemina,Pomocnik,Galatasaray,Turcja,Super Lig,sofascore
Ilhami Sirachan Nas,Pomocnik,Galatasaray,Turcja,Super Lig,sofascore
Eyup Karasu,Pomocnik,Galatasaray,Turcja,Super Lig,sofascore
Berat Yilmaz,Pomocnik,Galatasaray,Turcja,Super Lig,sofascore
Metehan Baltaci,Obrońca,Galatasaray,Turcja,Super Lig,sofascore
Yusuf Sivaslioglu,Obrońca,Galatasaray,Turcja,Super Lig,sofascore
Trivante Stewart,Napastnik,Gaziantep FK,Turcja,Super Lig,sofascore
Fuat Bavuk,Napastnik,Gaziantep FK,Turcja,Super Lig,sofascore
Ali Mevran Ablak,Pomocnik,Gaziantep FK,Turcja,Super Lig,flashscore~fuzzy
Gidado Victor Ntino-Emo,Pomocnik,Gaziantep FK,Turcja,Super Lig,flashscore~fuzzy
Mirza Cihan,Pomocnik,Gaziantep FK,Turcja,Super Lig,sofascore
Muhammet Taha Gunes,Pomocnik,Gaziantep FK,Turcja,Super Lig,sofascore
Burak Enes Yikici,Pomocnik,Gaziantep FK,Turcja,Super Lig,sofascore
Yusuf Delen,Pomocnik,Gaziantep FK,Turcja,Super Lig,sofascore
